Species,Sequence_Type,Accession,Title,Organism,Length,Country,Geo_location,Source_info,Collection_date,Isolation_source,Strain,Authors,Journal
Labeo bata,Comparison,OR148088.1,"Labeo bata voucher PHK44 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Labeo bata,658,,"India: Punjab, Harike, Harike wetland landing station",,,,,"Modeel,S., Negi,R.K., Sharma,M., Dolkar,P., Yadav,S., Siwach,S., Yadav,P. and Negi,T.","Sci Rep 14 (1), 2763 (2024)"
Labeo bata,Comparison,OR148087.1,"Labeo bata voucher PHK28 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Labeo bata,650,,"India: Punjab, Harike, Kiriyan",,,,,"Modeel,S., Negi,R.K., Sharma,M., Dolkar,P., Yadav,S., Siwach,S., Yadav,P. and Negi,T.","Sci Rep 14 (1), 2763 (2024)"
Labeo chrysophekadion,Comparison,NC_022942.1,"Labeo chrysophekadion mitochondrial DNA, complete genome",Labeo chrysophekadion,16602,,,,,,CBM ZF 11211,"Yang,L., Arunachalam,M., Sado,T., Levin,B.A., Golubtsov,A.S., Freyhof,J., Friel,J.P., Chen,W.J., Hirt,M.V., Manickam,R., Agnew,M.K., Simons,A.M., Saitoh,K., Miya,M., Mayden,R.L. and He,S.","Mol. Phylogenet. Evol. 65 (2), 362-379 (2012)"
Labeo chrysophekadion,Comparison,MN342615.1,"Labeo chrysophekadion voucher RC0369 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Labeo chrysophekadion,651,,,,01-Jun-09,,,"Collins,R.A.",Unpublished
Labeo chrysophekadion,Comparison,MN342614.1,"Labeo chrysophekadion voucher RC0370 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Labeo chrysophekadion,651,,,,01-Jun-09,,,"Collins,R.A.",Unpublished
Labeo dyocheilus,Comparison,OP575606.1,"Labeo dyocheilus voucher PUL-HMA-Fish-726 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Labeo dyocheilus,652,,"Pakistan: Punjab, Ravi, Kasur, Head Balloki down stream",,24-Feb-21,,,"Ashraf,H.M. and Shakir,H.A.","Submitted (30-SEP-2022) Institute of Zoology, University of the Punjab, lahore, Pakistan, Punjab 54000, Pakistan"
Labeo dyocheilus,Comparison,OP679800.1,"Labeo dyocheilus isolate mt-DNA-COI cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Labeo dyocheilus,666,,India: Tamil Nadu,Host: Freshwater Fish Muscle,,Thamirabarani river,mt-DNA-COI,"Balaganesan,M., Shanmugam,S.A., Kathirvelpandian,A., Suresh,E. and Agarwal,D.",Unpublished
Labeo dyocheilus,Comparison,MN082650.1,"Labeo dyocheilus isolate KELOT21A cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Labeo dyocheilus,618,,"India: Upper Lake, Bhopal, MP",,02-Apr-19,,KELOT21A,"Garg,R.K., Tiwari,M. and Sahu,H.",Unpublished
Labeo rohita,Comparison,LC823276.1,"Labeo rohita MHBSFMSTU Fish 40 mitochondrial COI gene for cytochrome c oxidase subunit 1, partial cds",Labeo rohita,655,,Bangladesh,,2019,,,"Hasan,M., Kambayashi,C., Anik,Z.H. and Islam,M.S.","PLoS One 20 (4), e0318982 (2025)"
Labeo rohita,Comparison,PP217421.1,"Labeo rohita voucher CUHP BS01 Cytochrome Oxidase Subunit I (COI) gene cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Labeo rohita,685,,,,,,,"Thakur,K., Sharma,A.K., Sharma,D., Bist,C.M.S., Kumar,R. and Kumar,S.",Unpublished
Labeo rohita,Comparison,OR148140.1,"Labeo rohita voucher HPK4 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Labeo rohita,652,,"India: Himachal Pradesh, Kangra, Gaj",,,,,"Modeel,S., Negi,R.K., Sharma,M., Dolkar,P., Yadav,S., Siwach,S., Yadav,P. and Negi,T.","Sci Rep 14 (1), 2763 (2024)"
Luciosoma bleekeri,Comparison,NC_015541.1,"Luciosoma bleekeri mitochondrion, complete genome",Luciosoma bleekeri,16532,,,,,,CBM ZF 11202,"Tang,K.L., Agnew,M.K., Hirt,M.V., Sado,T., Schneider,L.M., Freyhof,J., Sulaiman,Z., Swartz,E., Vidthayanon,C., Miya,M., Saitoh,K., Simons,A.M., Wood,R.M. and Mayden,R.L.","Mol. Phylogenet. Evol. 57 (1), 189-214 (2010)"
Luciosoma bleekeri,Comparison,KC456401.1,"Luciosoma bleekeri voucher SD021601 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Luciosoma bleekeri,636,,,,,,,"Panprommin,D., Srionkong,B. and Panprommin,N.",Unpublished
Luciosoma bleekeri,Comparison,KC456400.1,"Luciosoma bleekeri voucher SD019101 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Luciosoma bleekeri,636,,,,,,,"Panprommin,D., Srionkong,B. and Panprommin,N.",Unpublished
Mystacoleucus marginatus,Comparison,NC_023106.1,"Mystacoleucus marginatus mitochondrion, complete genome",Mystacoleucus marginatus,16611,,,,,,,"Liu,S., Yang,Z., Wang,D. and Liu,M.",Unpublished
Mystacoleucus marginatus,Comparison,MK448166.1,"Mystacoleucus marginatus voucher FNP116 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Mystacoleucus marginatus,630,,Thailand,,,,,"Noikotr,K.","Submitted (27-JAN-2019) Biology, Ramkhamhaeng University, 2086 Ramkamhaeng Rd. Huamark, Bangkapi, Bangkok 10240, Thailand"
Mystacoleucus marginatus,Comparison,MK448165.1,"Mystacoleucus marginatus voucher FNP115 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Mystacoleucus marginatus,615,,Thailand,,,,,"Noikotr,K.","Submitted (27-JAN-2019) Biology, Ramkhamhaeng University, 2086 Ramkamhaeng Rd. Huamark, Bangkapi, Bangkok 10240, Thailand"
Onychostoma fusiforme,Comparison,PQ665170.1,"Onychostoma fusiforme voucher UNS 2018-0911 (DB-091118) cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Onychostoma fusiforme,546,,Viet Nam,,,,,"Hoang,H.D. and Pham,H.M.","Submitted (02-DEC-2024) Ecology & Evolutionary Biology, University of Science, Viet Nam National University Ho Chi Minh City, 227 Nguyen Van Cu, District 5, Ho Chi Minh 700000, Viet Nam"
Onychostoma fusiforme,Comparison,PQ665169.1,"Onychostoma fusiforme voucher UF 192186 (ICH-02643) cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Onychostoma fusiforme,546,,Thailand,,,,,"Hoang,H.D. and Pham,H.M.","Submitted (02-DEC-2024) Ecology & Evolutionary Biology, University of Science, Viet Nam National University Ho Chi Minh City, 227 Nguyen Van Cu, District 5, Ho Chi Minh 700000, Viet Nam"
Opsarius koratensis,Comparison,HM224205.1,"Opsarius koratensis isolate CTOL03285 cytochrome c oxidase subunit I (cox1) gene, partial cds; mitochondrial",Opsarius koratensis,658,,,,,,CTOL03285,"Tang,K.L., Agnew,M.K., Hirt,M.V., Sado,T., Schneider,L.M., Freyhof,J., Sulaiman,Z., Swartz,E., Vidthayanon,C., Miya,M., Saitoh,K., Simons,A.M., Wood,R.M. and Mayden,R.L.","Mol. Phylogenet. Evol. 57 (1), 189-214 (2010)"
Opsarius koratensis,Comparison,HM224204.1,"Opsarius koratensis isolate CTOL02625 cytochrome c oxidase subunit I (cox1) gene, partial cds; mitochondrial",Opsarius koratensis,658,,,,,,CTOL02625,"Tang,K.L., Agnew,M.K., Hirt,M.V., Sado,T., Schneider,L.M., Freyhof,J., Sulaiman,Z., Swartz,E., Vidthayanon,C., Miya,M., Saitoh,K., Simons,A.M., Wood,R.M. and Mayden,R.L.","Mol. Phylogenet. Evol. 57 (1), 189-214 (2010)"
Osteochilus hasseltii,Comparison,NC_029442.1,"Osteochilus hasseltii voucher CBM:11221 mitochondrion, complete genome",Osteochilus hasseltii,16537,,,,,,,"Miya,M.",Unpublished
Osteochilus hasseltii,Comparison,KP856763.1,"Osteochilus hasseltii isolate A483b cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Osteochilus hasseltii,618,,Indonesia,,04-Aug-12,,A483b,"Abdullah,A. and Rehbein,H.W.",Unpublished
Osteochilus hasseltii,Comparison,KP856762.1,"Osteochilus hasseltii isolate A483a cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Osteochilus hasseltii,618,,Indonesia,,04-Aug-12,,A483a,"Abdullah,A. and Rehbein,H.W.",Unpublished
Osteochilus lini,Comparison,MK448184.1,"Osteochilus lini voucher FNP135 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Osteochilus lini,630,,Thailand,,,,,"Noikotr,K.","Submitted (27-JAN-2019) Biology, Ramkhamhaeng University, 2086 Ramkamhaeng Rd. Huamark, Bangkapi, Bangkok 10240, Thailand"
Osteochilus lini,Comparison,MK448099.1,"Osteochilus lini voucher FNP036 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Osteochilus lini,567,,Thailand,,,,,"Noikotr,K.","Submitted (27-JAN-2019) Biology, Ramkhamhaeng University, 2086 Ramkamhaeng Rd. Huamark, Bangkapi, Bangkok 10240, Thailand"
Osteochilus schlegeli,Comparison,NC_022951.1,"Osteochilus schlegelii mitochondrial DNA, complete genome",Osteochilus schlegelii,16575,,,,,,CBM ZF 11645,"Yang,L., Arunachalam,M., Sado,T., Levin,B.A., Golubtsov,A.S., Freyhof,J., Friel,J.P., Chen,W.J., Hirt,M.V., Manickam,R., Agnew,M.K., Simons,A.M., Saitoh,K., Miya,M., Mayden,R.L. and He,S.","Mol. Phylogenet. Evol. 65 (2), 362-379 (2012)"
Osteochilus schlegeli,Comparison,AP011389.1,"Osteochilus schlegelii mitochondrial DNA, complete genome",Osteochilus schlegelii,16575,,,,,,CBM ZF 11645,"Yang,L., Arunachalam,M., Sado,T., Levin,B.A., Golubtsov,A.S., Freyhof,J., Friel,J.P., Chen,W.J., Hirt,M.V., Manickam,R., Agnew,M.K., Simons,A.M., Saitoh,K., Miya,M., Mayden,R.L. and He,S.","Mol. Phylogenet. Evol. 65 (2), 362-379 (2012)"
Osteochilus vittatus,Comparison,MN243482.1,"Osteochilus vittatus voucher Wk3_16 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Osteochilus vittatus,680,,Indonesia,,21-Jul-18,muscle tissue,,"Ariyanti,Y., Rini,I.A., Oktaviani,I. and Leksikowati,S.S.",Unpublished
Osteochilus vittatus,Comparison,MK116328.1,"Osteochilus vittatus isolate OV_CT cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Osteochilus vittatus,529,,Viet Nam: Can Tho,,,,OV_CT,"Vu,Q.D.H., Truong,O.T., Tran,T.L. and Dang,B.T.",Unpublished
Osteochilus vittatus,Comparison,MK448183.1,"Osteochilus vittatus voucher FNP134 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Osteochilus vittatus,630,,Thailand,,,,,"Noikotr,K.","Submitted (27-JAN-2019) Biology, Ramkhamhaeng University, 2086 Ramkamhaeng Rd. Huamark, Bangkapi, Bangkok 10240, Thailand"
Probarbus jullieni,Comparison,NC_031525.1,"Probarbus jullieni mitochondrial DNA, complete genome",Probarbus jullieni,16572,,,,,,CBM ZF 11397,"Miya,M.",Unpublished
Probarbus jullieni,Comparison,MK116350.1,"Probarbus jullieni isolate PJ_CA cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Probarbus jullieni,529,,Cambodia,,,,PJ_CA,"Vu,Q.D.H., Truong,O.T., Tran,T.L. and Dang,B.T.",Unpublished
Probarbus jullieni,Comparison,AP011187.1,"Probarbus jullieni mitochondrial DNA, complete genome",Probarbus jullieni,16572,,,,,,CBM ZF 11397,"Miya,M.",Unpublished
Probarbus labeaminor,Comparison,KP712150.1,"Probarbus labeaminor isolate MNHN2013-1217 cytochrome c oxidase subunit I gene, partial cds; mitochondrial",Probarbus labeaminor,643,,"Laos: Thakhek, Khammouane Province",,,,MNHN2013-1217,"Yang,L., Sado,T., Vincent Hirt,M., Pasco-Viel,E., Arunachalam,M., Li,J., Wang,X., Freyhof,J., Saitoh,K., Simons,A.M., Miya,M., He,S. and Mayden,R.L.","Mol. Phylogenet. Evol. 85C, 97-116 (2015)"
Puntius brevis,Comparison,MK628365.1,"Puntius brevis isolate H voucher IRL034S3881 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Puntius brevis,639,,Thailand,,May-2016/Apr-2017,fish fin,H,"Panprommin,D., Soontornprasit,K., Tuncharoen,S. and Iamchuen,N.",Unpublished
Puntius brevis,Comparison,MK116340.1,"Puntius brevis isolate PB_CT cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Puntius brevis,529,,Viet Nam: Can Tho,,,,PB_CT,"Vu,Q.D.H., Truong,O.T., Tran,T.L. and Dang,B.T.",Unpublished
Puntius brevis,Comparison,MK448078.1,"Puntius brevis voucher FNP012 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Puntius brevis,630,,Thailand,,,,,"Noikotr,K.","Submitted (27-JAN-2019) Biology, Ramkhamhaeng University, 2086 Ramkamhaeng Rd. Huamark, Bangkapi, Bangkok 10240, Thailand"
Puntius orphoides,Comparison,NC_031527.1,"Systomus orphoides mitochondrial DNA, complete genome",Systomus orphoides,16593,,,,,,CBM ZF 11229,"Miya,M.",Unpublished
Puntius orphoides,Comparison,MN342847.1,"Systomus orphoides voucher RC0183 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Systomus orphoides,651,,,,26-May-09,,,"Collins,R.A.",Unpublished
Puntius orphoides,Comparison,MN342846.1,"Systomus orphoides voucher RC0186 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Systomus orphoides,651,,,,26-May-09,,,"Collins,R.A.",Unpublished
Puntius rhombeus,Comparison,MN916379.1,"Barbodes rhombeus isolate THAr1 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Barbodes rhombeus,570,,Thailand: Chantaburi,,,,THAr1,"Ahmad Sobri,N.Z.",Unpublished
Puntius rhombeus,Comparison,MN916378.1,"Barbodes rhombeus isolate DSPr5 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Barbodes rhombeus,570,,"Malaysia: Sungai Air Putih, Sungai Golok, Kelantan",,,,DSPr5,"Ahmad Sobri,N.Z.",Unpublished
Puntius rhombeus,Comparison,MW168727.1,"Barbodes rhombeus isolate BRHOM4 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Barbodes rhombeus,664,,Malaysia: Kelantan,,,,BRHOM4,"Ng,C.K. and Tan,J.",J Fish Biol (2021) In press
Puntius tetrazona,Comparison,MW591158.1,"Puntigrus tetrazona voucher BIOPH_PS-0067 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Puntigrus tetrazona,655,,"Malaysia: Pulau Pinang, Sungai Pinang",,27-Apr-19,,,"Jamaluddin,J.A.F., Mohd Nor,S.A., Lavoue,S., Mohd Abu Hassan alshari,N.F., Ghazali,S.Z., Ahmad,A., Tan,A. and Leng,C.L.",Unpublished
Puntius tetrazona,Comparison,MN342772.1,"Puntigrus tetrazona voucher RC0004 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Puntigrus tetrazona,651,,,,27-Oct-08,,,"Collins,R.A.",Unpublished
Puntius tetrazona,Comparison,MN342771.1,"Puntigrus tetrazona voucher RC0083 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Puntigrus tetrazona,651,,,,31-Oct-08,,,"Collins,R.A.",Unpublished
Rasbora aurotaenia,Comparison,LC130778.1,"Rasbora aurotaenia mitochondrial COI gene for cytochrome c oxidase subunit I, partial cds, isolate: Batang_3",Rasbora aurotaenia,655,,"Indonesia:South Kalimantan, Banjarmasin",Tissue Type: pectoral fin,,,Batang_3,"Kusuma,W.E., Ratmuangkhwang,S. and Kumazawa,Y.","Mol. Phylogenet. Evol. 105, 212-223 (2016)"
Rasbora aurotaenia,Comparison,MW343544.1,"Rasbora aurotaenia isolate D voucher IRUM7904103 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Rasbora aurotaenia,630,,,,,,D,"Panprommin,D.",Unpublished
Rasbora aurotaenia,Comparison,HM224219.1,"Rasbora aurotaenia isolate CTOL01526 cytochrome c oxidase subunit I (cox1) gene, partial cds; mitochondrial",Rasbora aurotaenia,658,,,,,,CTOL01526,"Tang,K.L., Agnew,M.K., Hirt,M.V., Sado,T., Schneider,L.M., Freyhof,J., Sulaiman,Z., Swartz,E., Vidthayanon,C., Miya,M., Saitoh,K., Simons,A.M., Wood,R.M. and Mayden,R.L.","Mol. Phylogenet. Evol. 57 (1), 189-214 (2010)"
Rasbora borapetensis,Comparison,MN342787.1,"Rasbora borapetensis voucher RC0591 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Rasbora borapetensis,651,,,,15-Mar-10,,,"Collins,R.A.",Unpublished
Rasbora borapetensis,Comparison,MN342786.1,"Rasbora borapetensis voucher RC0592 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Rasbora borapetensis,651,,,,15-Mar-10,,,"Collins,R.A.",Unpublished
Rasbora borapetensis,Comparison,MN869718.1,"Rasbora borapetensis voucher LR10903 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Rasbora borapetensis,655,,Cambodia,,05-Apr-10,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Risdawati,R., Elvyra,R., Wibowo,A., Kustiati,K., Busson,F., Sauri,S., Nurhaman,U., Dounias,E., Zein,M.S.A., Fitriana,Y., Utama,I.V., Muchlisin,Z.A., Agnese,J.F., Hanner,R., Wowor,D., Steinke,D., Keith,P., Ruber,L. and Hubert,N.","Sci Rep 10 (1), 2818 (2020)"
Rasbora dorsiocellata,Comparison,NC_063865.1,"Brevibora dorsiocellata voucher BIF5723 mitochondrion, complete genome",Brevibora dorsiocellata,16514,,Indonesia: South Sumatera,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Rasbora dorsiocellata,Comparison,MW232439.1,"Brevibora dorsiocellata voucher BIF5723 mitochondrion, complete genome",Brevibora dorsiocellata,16514,,Indonesia: South Sumatera,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Rasbora dorsiocellata,Comparison,MN342359.1,"Brevibora dorsiocellata voucher RC0663 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Brevibora dorsiocellata,651,,,,18-Mar-10,,,"Collins,R.A.",Unpublished
Rasbora dusonensis,Comparison,NC_063875.1,"Rasbora dusonensis voucher BIF4922 mitochondrion, complete genome",Rasbora dusonensis,16538,,Indonesia: Jambi,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Rasbora dusonensis,Comparison,MW232454.1,"Rasbora dusonensis voucher BIF6489 mitochondrion, complete genome",Rasbora dusonensis,16537,,Indonesia: Riau,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Rasbora dusonensis,Comparison,MW232453.1,"Rasbora dusonensis voucher BIF4922 mitochondrion, complete genome",Rasbora dusonensis,16538,,Indonesia: Jambi,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Rasbora pauciperforata,Comparison,NC_063899.1,"Rasbora pauciperforata voucher LR05154 mitochondrion, complete genome",Rasbora pauciperforata,16707,,Malaysia: Terengganu,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Rasbora pauciperforata,Comparison,MW232491.1,"Rasbora pauciperforata voucher LR10296 mitochondrion, complete genome",Rasbora pauciperforata,16707,,Indonesia: Bangka-Belitung,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Rasbora pauciperforata,Comparison,MW232490.1,"Rasbora pauciperforata voucher LR08177 mitochondrion, complete genome",Rasbora pauciperforata,16707,,Malaysia: Sarawak,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Rasbora trilineata,Comparison,NC_025336.1,"Rasbora trilineata mitochondrion, complete genome",Rasbora trilineata,16747,,,,,,,"Ho,C.W., Liu,M.Y. and Chen,M.H.","Mitochondrial DNA, 1-3 (2014) In press"
Rasbora trilineata,Comparison,MW232483.1,"Rasbora trilineata voucher LR09847 mitochondrion, complete genome",Rasbora trilineata,16734,,Indonesia: Jambi,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Rasbora trilineata,Comparison,MW232482.1,"Rasbora trilineata voucher BIF5713 mitochondrion, complete genome",Rasbora trilineata,16745,,Indonesia: South Sumatera,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Systomus rubripinnis,Comparison,MK448198.1,"Systomus rubripinnis voucher FNP154 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Systomus rubripinnis,610,,Thailand,,,,,"Noikotr,K.","Submitted (27-JAN-2019) Biology, Ramkhamhaeng University, 2086 Ramkamhaeng Rd. Huamark, Bangkapi, Bangkok 10240, Thailand"
Systomus rubripinnis,Comparison,MK448106.1,"Systomus rubripinnis voucher FNP044 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Systomus rubripinnis,630,,Thailand,,,,,"Noikotr,K.","Submitted (27-JAN-2019) Biology, Ramkhamhaeng University, 2086 Ramkamhaeng Rd. Huamark, Bangkapi, Bangkok 10240, Thailand"
Systomus rubripinnis,Comparison,MK448105.1,"Systomus rubripinnis voucher FNP043 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Systomus rubripinnis,564,,Thailand,,,,,"Noikotr,K.","Submitted (27-JAN-2019) Biology, Ramkhamhaeng University, 2086 Ramkamhaeng Rd. Huamark, Bangkapi, Bangkok 10240, Thailand"
Tor tambroides,Comparison,MW471072.1,"Tor tambroides isolate LTTF voucher ASD03017 mitochondrion, complete genome",Tor tambroides,16582,,"Malaysia: LTT Aquaculture Farm, Asajaya, Sarawak",Tissue Type: muscle,2020,,LTTF,"Lim,L.W.K., Chung,H.H., Lau,M.M.L., Aziz,F. and Gan,H.M.","Gene 791, 145708 (2021)"
Tor tambroides,Comparison,MW471071.1,"Tor tambroides isolate LTT4 voucher ASD03018 mitochondrion, complete genome",Tor tambroides,16581,,"Malaysia: LTT Aquaculture Farm, Asajaya, Sarawak",Tissue Type: muscle,2020,,LTT4,"Lim,L.W.K., Chung,H.H., Lau,M.M.L., Aziz,F. and Gan,H.M.","Gene 791, 145708 (2021)"
Tor tambroides,Comparison,MW471070.1,"Tor tambroides isolate BK02 voucher ASD03014 mitochondrion, complete genome",Tor tambroides,16581,,"Malaysia: Sampadi Fishery Farm, Kuching, Sarawak",Tissue Type: muscle,2020,,BK02,"Lim,L.W.K., Chung,H.H., Lau,M.M.L., Aziz,F. and Gan,H.M.","Gene 791, 145708 (2021)"
Trigonostigma espei,Comparison,NC_015535.1,"Trigonostigma espei mitochondrion, complete genome",Trigonostigma espei,17162,,,,,,CBM ZF 11359,"Tang,K.L., Agnew,M.K., Hirt,M.V., Sado,T., Schneider,L.M., Freyhof,J., Sulaiman,Z., Swartz,E., Vidthayanon,C., Miya,M., Saitoh,K., Simons,A.M., Wood,R.M. and Mayden,R.L.","Mol. Phylogenet. Evol. 57 (1), 189-214 (2010)"
Trigonostigma espei,Comparison,MN342861.1,"Trigonostigma espei voucher RC0202 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Trigonostigma espei,651,,,,26-May-09,,,"Collins,R.A.",Unpublished
Trigonostigma espei,Comparison,MN342860.1,"Trigonostigma espei voucher RC0509 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Trigonostigma espei,651,,,,12-Mar-10,,,"Collins,R.A.",Unpublished
Trigonostigma heteromorpha,Comparison,MN342865.1,"Trigonostigma heteromorpha voucher RC0308 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Trigonostigma heteromorpha,651,,,,29-May-09,,,"Collins,R.A.",Unpublished
Trigonostigma heteromorpha,Comparison,MN342864.1,"Trigonostigma heteromorpha voucher RC0597 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Trigonostigma heteromorpha,651,,,,15-Mar-10,,,"Collins,R.A.",Unpublished
Trigonostigma heteromorpha,Comparison,MN869761.1,"Trigonostigma heteromorpha voucher LR11311 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Trigonostigma heteromorpha,640,,Malaysia,,02-Mar-09,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Risdawati,R., Elvyra,R., Wibowo,A., Kustiati,K., Busson,F., Sauri,S., Nurhaman,U., Dounias,E., Zein,M.S.A., Fitriana,Y., Utama,I.V., Muchlisin,Z.A., Agnese,J.F., Hanner,R., Wowor,D., Steinke,D., Keith,P., Ruber,L. and Hubert,N.","Sci Rep 10 (1), 2818 (2020)"
Trigonopoma pauciperforatum,Comparison,NC_063899.1,"Rasbora pauciperforata voucher LR05154 mitochondrion, complete genome",Rasbora pauciperforata,16707,,Malaysia: Terengganu,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
Trigonopoma pauciperforatum,Comparison,MW232491.1,"Rasbora pauciperforata voucher LR10296 mitochondrion, complete genome",Rasbora pauciperforata,16707,,Indonesia: Bangka-Belitung,,,,,"Sholihah,A., Delrieu-Trottin,E., Sukmono,T., Dahruddin,H., Pouzadoux,J., Tilak,M.-K., Fitriana,Y., Agnese,J.-F., Condamine,F., Wowor,D., Ruber,L. and Hubert,N.",J Biogeogr (2020) In press
